alpha,trial,Model,Accuracy,F1
0.5,0,KAN,0.8199,0.818663915754422
0.5,0,MLP-Reg,0.81555,0.814858345948009
0.5,1,KAN,0.81995,0.818700546623585
0.5,1,MLP-Reg,0.8153,0.8146317300130349
0.5,2,KAN,0.82005,0.8188142720097314
0.5,2,MLP-Reg,0.816,0.8153422616618915
0.5,3,KAN,0.8201,0.8188575860550579
0.5,3,MLP-Reg,0.81515,0.8144510024916884
0.5,4,KAN,0.82025,0.8190392294768448
0.5,4,MLP-Reg,0.81525,0.8145495595014647
1.0,0,KAN,0.81935,0.8180853071777782
1.0,0,MLP-Reg,0.8143,0.8135714917649916
1.0,1,KAN,0.819,0.8176835996792962
1.0,1,MLP-Reg,0.814,0.8132787550651757
1.0,2,KAN,0.8192,0.8179145658006987
1.0,2,MLP-Reg,0.8146,0.8138818479573318
1.0,3,KAN,0.8195,0.8182066117495055
1.0,3,MLP-Reg,0.81515,0.8144057256829157
1.0,4,KAN,0.81935,0.8181107893555134
1.0,4,MLP-Reg,0.81425,0.8134974007108337
2.0,0,KAN,0.81705,0.8156118185841347
2.0,0,MLP-Reg,0.81115,0.8102490146478813
2.0,1,KAN,0.8167,0.8152262730355464
2.0,1,MLP-Reg,0.81125,0.8103913756100656
2.0,2,KAN,0.8173,0.8158853930024671
2.0,2,MLP-Reg,0.81055,0.8096630831011967
2.0,3,KAN,0.8162,0.8147370171881659
2.0,3,MLP-Reg,0.81065,0.8097256947508478
2.0,4,KAN,0.8156,0.8141501802441599
2.0,4,MLP-Reg,0.80845,0.8074680232109944
5.0,0,KAN,0.8038,0.801601163945321
5.0,0,MLP-Reg,0.79665,0.7951223403456265
5.0,1,KAN,0.80565,0.8035209156173889
5.0,1,MLP-Reg,0.79805,0.7965748865982587
5.0,2,KAN,0.80375,0.8015216868087155
5.0,2,MLP-Reg,0.7968,0.7953155896177923
5.0,3,KAN,0.8015,0.7991299246637558
5.0,3,MLP-Reg,0.794,0.7923519198913292
5.0,4,KAN,0.8032,0.8009732019371524
5.0,4,MLP-Reg,0.79615,0.7946511783530059
10.0,0,KAN,0.78755,0.7845432480845378
10.0,0,MLP-Reg,0.7787,0.7766044616422488
10.0,1,KAN,0.79115,0.7884365825036426
10.0,1,MLP-Reg,0.7796,0.7776287946463079
10.0,2,KAN,0.7884,0.7854041652125066
10.0,2,MLP-Reg,0.77695,0.7748731768117059
10.0,3,KAN,0.78745,0.7842559992606671
10.0,3,MLP-Reg,0.7773,0.7750608670501432
10.0,4,KAN,0.7876,0.784644960273731
10.0,4,MLP-Reg,0.77665,0.7745260412798277
