dataset,alpha,trial,Model,class,f1
desi,1.0,0,KAN,GALAXY,0.9020434877463457
desi,1.0,0,KAN,QSO,0.9354764988192276
desi,1.0,0,KAN,STAR,0.9550373418686176
desi,1.0,0,MLP-Reg,GALAXY,0.9044992743105951
desi,1.0,0,MLP-Reg,QSO,0.9281664984080142
desi,1.0,0,MLP-Reg,STAR,0.95930450423443
desi,1.0,1,KAN,GALAXY,0.9019351083951695
desi,1.0,1,KAN,QSO,0.9354249162351508
desi,1.0,1,KAN,STAR,0.9550373418686176
desi,1.0,1,MLP-Reg,GALAXY,0.9044992743105951
desi,1.0,1,MLP-Reg,QSO,0.928
desi,1.0,1,MLP-Reg,STAR,0.959460472086924
desi,1.0,2,KAN,GALAXY,0.9021834061135371
desi,1.0,2,KAN,QSO,0.9357588674075201
desi,1.0,2,KAN,STAR,0.9550373418686176
desi,1.0,2,MLP-Reg,GALAXY,0.9042190109650715
desi,1.0,2,MLP-Reg,QSO,0.9281390656526463
desi,1.0,2,MLP-Reg,STAR,0.9591546129056434
desi,1.0,3,KAN,GALAXY,0.9024230517354289
desi,1.0,3,KAN,QSO,0.9359725923106205
desi,1.0,3,KAN,STAR,0.9550373418686176
desi,1.0,3,MLP-Reg,GALAXY,0.904316285817918
desi,1.0,3,MLP-Reg,QSO,0.9281553398058252
desi,1.0,3,MLP-Reg,STAR,0.9592203898050975
desi,1.0,4,KAN,GALAXY,0.9021747036148083
desi,1.0,4,KAN,QSO,0.9356386625028563
desi,1.0,4,KAN,STAR,0.9550373418686176
desi,1.0,4,MLP-Reg,GALAXY,0.904316285817918
desi,1.0,4,MLP-Reg,QSO,0.9282274351405935
desi,1.0,4,MLP-Reg,STAR,0.9589985758189041
desi,5.0,0,KAN,GALAXY,0.8953174081379209
desi,5.0,0,KAN,QSO,0.9291075896580484
desi,5.0,0,KAN,STAR,0.9547325102880658
desi,5.0,0,MLP-Reg,GALAXY,0.897721482128558
desi,5.0,0,MLP-Reg,QSO,0.921683949852964
desi,5.0,0,MLP-Reg,STAR,0.9591484896184694
desi,5.0,1,KAN,GALAXY,0.89546783625731
desi,5.0,1,KAN,QSO,0.9294536637114496
desi,5.0,1,KAN,STAR,0.9549645660291092
desi,5.0,1,MLP-Reg,GALAXY,0.899469361052555
desi,5.0,1,MLP-Reg,QSO,0.9230292225408883
desi,5.0,1,MLP-Reg,STAR,0.9593764053365312
desi,5.0,2,KAN,GALAXY,0.8940935372904926
desi,5.0,2,KAN,QSO,0.9283390087022323
desi,5.0,2,KAN,STAR,0.9550373418686176
desi,5.0,2,MLP-Reg,GALAXY,0.8980603762578387
desi,5.0,2,MLP-Reg,QSO,0.9219474497681608
desi,5.0,2,MLP-Reg,STAR,0.9595384384834408
desi,5.0,3,KAN,GALAXY,0.8939593388913266
desi,5.0,3,KAN,QSO,0.927970915700977
desi,5.0,3,KAN,STAR,0.9549645660291092
desi,5.0,3,MLP-Reg,GALAXY,0.8968681718863802
desi,5.0,3,MLP-Reg,QSO,0.9207920792079208
desi,5.0,3,MLP-Reg,STAR,0.9593764053365312
desi,5.0,4,KAN,GALAXY,0.8941210880374378
desi,5.0,4,KAN,QSO,0.9282630103780016
desi,5.0,4,KAN,STAR,0.9551169702049837
desi,5.0,4,MLP-Reg,GALAXY,0.8978729603729604
desi,5.0,4,MLP-Reg,QSO,0.9224584460765365
desi,5.0,4,MLP-Reg,STAR,0.9586863612506561
desi,10.0,0,KAN,GALAXY,0.879580378250591
desi,10.0,0,KAN,QSO,0.9152237463458511
desi,10.0,0,KAN,STAR,0.9546597576773603
desi,10.0,0,MLP-Reg,GALAXY,0.8853059728838403
desi,10.0,0,MLP-Reg,QSO,0.9108074915566472
desi,10.0,0,MLP-Reg,STAR,0.9583552187288962
desi,10.0,1,KAN,GALAXY,0.8802655846551088
desi,10.0,1,KAN,QSO,0.9154908435905134
desi,10.0,1,KAN,STAR,0.9548052739882631
desi,10.0,1,MLP-Reg,GALAXY,0.8839770891467176
desi,10.0,1,MLP-Reg,QSO,0.9086029750038338
desi,10.0,1,MLP-Reg,STAR,0.9596701649175412
desi,10.0,2,KAN,GALAXY,0.8758324700310789
desi,10.0,2,KAN,QSO,0.911920975828781
desi,10.0,2,KAN,STAR,0.9549645660291092
desi,10.0,2,MLP-Reg,GALAXY,0.8818201899712834
desi,10.0,2,MLP-Reg,QSO,0.9076593792998012
desi,10.0,2,MLP-Reg,STAR,0.9589862787733373
desi,10.0,3,KAN,GALAXY,0.8761075014766686
desi,10.0,3,KAN,QSO,0.9117095491711049
desi,10.0,3,KAN,STAR,0.9549714285714286
desi,10.0,3,MLP-Reg,GALAXY,0.8819337300712659
desi,10.0,3,MLP-Reg,QSO,0.9070426852632386
desi,10.0,3,MLP-Reg,STAR,0.9592203898050975
desi,10.0,4,KAN,GALAXY,0.8757667578153869
desi,10.0,4,KAN,QSO,0.9115156964111786
desi,10.0,4,KAN,STAR,0.9551897576588935
desi,10.0,4,MLP-Reg,GALAXY,0.8816176470588235
desi,10.0,4,MLP-Reg,QSO,0.90806180204987
desi,10.0,4,MLP-Reg,STAR,0.9579768872880084
