dataset,alpha,trial,Model,class,f1
sdss,1.0,0,KAN,GALAXY,0.9457863660762211
sdss,1.0,0,KAN,QSO,0.9098664688427299
sdss,1.0,0,KAN,STAR,0.8988679245283019
sdss,1.0,0,MLP-Reg,GALAXY,0.9457139791867826
sdss,1.0,0,MLP-Reg,QSO,0.8972138554216867
sdss,1.0,0,MLP-Reg,STAR,0.9083457526080477
sdss,1.0,1,KAN,GALAXY,0.9457805454155035
sdss,1.0,1,KAN,QSO,0.9112140871177016
sdss,1.0,1,KAN,STAR,0.8967729760332138
sdss,1.0,1,MLP-Reg,GALAXY,0.9471259441795682
sdss,1.0,1,MLP-Reg,QSO,0.9006046863189721
sdss,1.0,1,MLP-Reg,STAR,0.9106843184784635
sdss,1.0,2,KAN,GALAXY,0.9465714439134404
sdss,1.0,2,KAN,QSO,0.9130998702983139
sdss,1.0,2,KAN,STAR,0.897774424745379
sdss,1.0,2,MLP-Reg,GALAXY,0.9472216262604591
sdss,1.0,2,MLP-Reg,QSO,0.8995107263831389
sdss,1.0,2,MLP-Reg,STAR,0.9116331096196868
sdss,1.0,3,KAN,GALAXY,0.9469392134771178
sdss,1.0,3,KAN,QSO,0.9131725417439703
sdss,1.0,3,KAN,STAR,0.8989231059890421
sdss,1.0,3,MLP-Reg,GALAXY,0.94770121101704
sdss,1.0,3,MLP-Reg,QSO,0.9002644503211182
sdss,1.0,3,MLP-Reg,STAR,0.9131569139023481
sdss,1.0,4,KAN,GALAXY,0.9466337377858907
sdss,1.0,4,KAN,QSO,0.911819192293442
sdss,1.0,4,KAN,STAR,0.89920724801812
sdss,1.0,4,MLP-Reg,GALAXY,0.946177763482363
sdss,1.0,4,MLP-Reg,QSO,0.8972667295004713
sdss,1.0,4,MLP-Reg,STAR,0.9095655416744359
sdss,5.0,0,KAN,GALAXY,0.904363873208858
sdss,5.0,0,KAN,QSO,0.8383747986396993
sdss,5.0,0,KAN,STAR,0.8258331764262851
sdss,5.0,0,MLP-Reg,GALAXY,0.8987951807228916
sdss,5.0,0,MLP-Reg,QSO,0.7756864099464686
sdss,5.0,0,MLP-Reg,STAR,0.8560045532157086
sdss,5.0,1,KAN,GALAXY,0.9024443237370994
sdss,5.0,1,KAN,QSO,0.8389393130450258
sdss,5.0,1,KAN,STAR,0.8157944454940488
sdss,5.0,1,MLP-Reg,GALAXY,0.898948981826144
sdss,5.0,1,MLP-Reg,QSO,0.7734711455641688
sdss,5.0,1,MLP-Reg,STAR,0.8550200038102496
sdss,5.0,2,KAN,GALAXY,0.9051190088033909
sdss,5.0,2,KAN,QSO,0.8419925013390466
sdss,5.0,2,KAN,STAR,0.8279751833051325
sdss,5.0,2,MLP-Reg,GALAXY,0.8976861497971269
sdss,5.0,2,MLP-Reg,QSO,0.773558853986883
sdss,5.0,2,MLP-Reg,STAR,0.8574669187145557
sdss,5.0,3,KAN,GALAXY,0.9055703205510658
sdss,5.0,3,KAN,QSO,0.8431407619388303
sdss,5.0,3,KAN,STAR,0.8247072157159048
sdss,5.0,3,MLP-Reg,GALAXY,0.902408388400415
sdss,5.0,3,MLP-Reg,QSO,0.7809788267962513
sdss,5.0,3,MLP-Reg,STAR,0.8611164031244046
sdss,5.0,4,KAN,GALAXY,0.9017303297420829
sdss,5.0,4,KAN,QSO,0.843860894251242
sdss,5.0,4,KAN,STAR,0.8134890730972117
sdss,5.0,4,MLP-Reg,GALAXY,0.8982075316559777
sdss,5.0,4,MLP-Reg,QSO,0.7752364574376612
sdss,5.0,4,MLP-Reg,STAR,0.8533434650455927
sdss,10.0,0,KAN,GALAXY,0.8621215421476802
sdss,10.0,0,KAN,QSO,0.7652326602282704
sdss,10.0,0,KAN,STAR,0.741402242067262
sdss,10.0,0,MLP-Reg,GALAXY,0.8260302703928348
sdss,10.0,0,MLP-Reg,QSO,0.6260261477652782
sdss,10.0,0,MLP-Reg,STAR,0.7752302567117382
sdss,10.0,1,KAN,GALAXY,0.8586582098529171
sdss,10.0,1,KAN,QSO,0.7581038689438829
sdss,10.0,1,KAN,STAR,0.7388101983002833
sdss,10.0,1,MLP-Reg,GALAXY,0.8258525790160586
sdss,10.0,1,MLP-Reg,QSO,0.6236949614162506
sdss,10.0,1,MLP-Reg,STAR,0.7697445972495088
sdss,10.0,2,KAN,GALAXY,0.859868098326702
sdss,10.0,2,KAN,QSO,0.7595561035758323
sdss,10.0,2,KAN,STAR,0.7500943752359381
sdss,10.0,2,MLP-Reg,GALAXY,0.8254256526674234
sdss,10.0,2,MLP-Reg,QSO,0.6257221039829736
sdss,10.0,2,MLP-Reg,STAR,0.7775175644028103
sdss,10.0,3,KAN,GALAXY,0.8621460913207135
sdss,10.0,3,KAN,QSO,0.7686384319215961
sdss,10.0,3,KAN,STAR,0.7466363464089445
sdss,10.0,3,MLP-Reg,GALAXY,0.8308981764639257
sdss,10.0,3,MLP-Reg,QSO,0.6356517733763243
sdss,10.0,3,MLP-Reg,STAR,0.7839254513686663
sdss,10.0,4,KAN,GALAXY,0.8586216289839281
sdss,10.0,4,KAN,QSO,0.7618384401114207
sdss,10.0,4,KAN,STAR,0.7329121194715681
sdss,10.0,4,MLP-Reg,GALAXY,0.8294091011999094
sdss,10.0,4,MLP-Reg,QSO,0.6384933394579697
sdss,10.0,4,MLP-Reg,STAR,0.7679094280694906
