alpha,trial,Model,Accuracy
0.5,0,KAN,0.93055
0.5,0,MLP-Reg,0.93035
0.5,0,XGBoost,0.96795
0.5,1,KAN,0.9305
0.5,1,MLP-Reg,0.9304
0.5,1,XGBoost,0.9677
0.5,2,KAN,0.9305
0.5,2,MLP-Reg,0.9306
0.5,2,XGBoost,0.9679
0.5,3,KAN,0.93055
0.5,3,MLP-Reg,0.93055
0.5,3,XGBoost,0.96765
0.5,4,KAN,0.93025
0.5,4,MLP-Reg,0.93045
0.5,4,XGBoost,0.96805
1.0,0,KAN,0.9304
1.0,0,MLP-Reg,0.9304
1.0,0,XGBoost,0.9664
1.0,1,KAN,0.93035
1.0,1,MLP-Reg,0.9304
1.0,1,XGBoost,0.9657
1.0,2,KAN,0.93055
1.0,2,MLP-Reg,0.93025
1.0,2,XGBoost,0.96555
1.0,3,KAN,0.9307
1.0,3,MLP-Reg,0.9303
1.0,3,XGBoost,0.967
1.0,4,KAN,0.9305
1.0,4,MLP-Reg,0.93025
1.0,4,XGBoost,0.9667
2.0,0,KAN,0.92985
2.0,0,MLP-Reg,0.92955
2.0,0,XGBoost,0.96145
2.0,1,KAN,0.93
2.0,1,MLP-Reg,0.93035
2.0,1,XGBoost,0.9617
2.0,2,KAN,0.9301
2.0,2,MLP-Reg,0.9296
2.0,2,XGBoost,0.9607
2.0,3,KAN,0.93025
2.0,3,MLP-Reg,0.92995
2.0,3,XGBoost,0.96095
2.0,4,KAN,0.93015
2.0,4,MLP-Reg,0.92985
2.0,4,XGBoost,0.9615
5.0,0,KAN,0.92595
5.0,0,MLP-Reg,0.92595
5.0,0,XGBoost,0.9473
5.0,1,KAN,0.9262
5.0,1,MLP-Reg,0.92705
5.0,1,XGBoost,0.94765
5.0,2,KAN,0.9254
5.0,2,MLP-Reg,0.9263
5.0,2,XGBoost,0.9462
5.0,3,KAN,0.9252
5.0,3,MLP-Reg,0.92545
5.0,3,XGBoost,0.94675
5.0,4,KAN,0.9254
5.0,4,MLP-Reg,0.9261
5.0,4,XGBoost,0.9472
10.0,0,KAN,0.9161
10.0,0,MLP-Reg,0.91795
10.0,0,XGBoost,0.929
10.0,1,KAN,0.91645
10.0,1,MLP-Reg,0.91725
10.0,1,XGBoost,0.9291
10.0,2,KAN,0.91385
10.0,2,MLP-Reg,0.916
10.0,2,XGBoost,0.9264
10.0,3,KAN,0.91385
10.0,3,MLP-Reg,0.9159
10.0,3,XGBoost,0.9252
10.0,4,KAN,0.91375
10.0,4,MLP-Reg,0.9157
10.0,4,XGBoost,0.9269
