alpha,trial,Model,Accuracy
0.5,0,KAN,0.9326785348884796
0.5,0,MLP-Reg,0.93329240843053
0.5,0,XGBoost,0.9717618170656844
0.5,1,KAN,0.9326785348884796
0.5,1,MLP-Reg,0.935134029056681
0.5,1,XGBoost,0.9723074824363959
0.5,2,KAN,0.9340426983152582
0.5,2,MLP-Reg,0.9347929881999864
0.5,2,XGBoost,0.9716254007230066
0.5,3,KAN,0.9338380738012414
0.5,3,MLP-Reg,0.9346565718573085
0.5,3,XGBoost,0.9725803151217516
0.5,4,KAN,0.9334288247732079
0.5,4,MLP-Reg,0.9335652411158857
0.5,4,XGBoost,0.9733988131778187
1.0,0,KAN,0.9307004979196508
1.0,0,MLP-Reg,0.9300866243776005
1.0,0,XGBoost,0.9671918695859764
1.0,1,KAN,0.9305640815769729
1.0,1,MLP-Reg,0.9320646613464293
1.0,1,XGBoost,0.9679421594707046
1.0,2,KAN,0.9315872041470569
1.0,2,MLP-Reg,0.9320646613464293
1.0,2,XGBoost,0.9671918695859764
1.0,3,KAN,0.9320646613464293
1.0,3,MLP-Reg,0.9328149512311575
1.0,3,XGBoost,0.9683514084987381
1.0,4,KAN,0.9316554123183958
1.0,4,MLP-Reg,0.9306322897483118
1.0,4,XGBoost,0.968419616670077
2.0,0,KAN,0.9204010640474729
2.0,0,MLP-Reg,0.9207421049041675
2.0,0,XGBoost,0.9566878111997817
2.0,1,KAN,0.9198553986767615
2.0,1,MLP-Reg,0.9227201418729963
2.0,1,XGBoost,0.9570288520564764
2.0,2,KAN,0.9224473091876407
2.0,2,MLP-Reg,0.9213559784462179
2.0,2,XGBoost,0.9559375213150535
2.0,3,KAN,0.9245617624991473
2.0,3,MLP-Reg,0.9227883500443353
2.0,3,XGBoost,0.9563467703430871
2.0,4,KAN,0.9207421049041675
2.0,4,MLP-Reg,0.9214923947888957
2.0,4,XGBoost,0.9583248073119159
5.0,0,KAN,0.8775663324466271
5.0,0,MLP-Reg,0.8667894413750767
5.0,0,XGBoost,0.9197189823340837
5.0,1,KAN,0.8746333810790533
5.0,1,MLP-Reg,0.8662437760043653
5.0,1,XGBoost,0.9176727371939158
5.0,2,KAN,0.8790669122160835
5.0,2,MLP-Reg,0.8659027351476707
5.0,2,XGBoost,0.9205374803901507
5.0,3,KAN,0.8790669122160835
5.0,3,MLP-Reg,0.871154764340768
5.0,3,XGBoost,0.9177409453652547
5.0,4,KAN,0.8746333810790533
5.0,4,MLP-Reg,0.8657663188049929
5.0,4,XGBoost,0.9200600231907783
10.0,0,KAN,0.8216356319487075
10.0,0,MLP-Reg,0.7723211240706637
10.0,0,XGBoost,0.8773617079326104
10.0,1,KAN,0.8173385171543551
10.0,1,MLP-Reg,0.7705477116158516
10.0,1,XGBoost,0.87674783439056
10.0,2,KAN,0.8206125093786235
10.0,2,MLP-Reg,0.7722529158993248
10.0,2,XGBoost,0.8798854102721506
10.0,3,KAN,0.8231362117181639
10.0,3,MLP-Reg,0.7792783575472342
10.0,3,XGBoost,0.8810449491849124
10.0,4,KAN,0.8172703089830161
10.0,4,MLP-Reg,0.7761407816656436
10.0,4,XGBoost,0.8794079530727781
