bin,trial,Model,n,Accuracy
0-18,0,KAN,3613,0.9548851370052588
18-20,0,KAN,6837,0.9420798595875384
20-22,0,KAN,5031,0.9274498111707414
22-99,0,KAN,4519,0.896437264881611
0-18,0,MLP-Reg,3613,0.9532244672017713
18-20,0,MLP-Reg,6837,0.9382770220857101
20-22,0,MLP-Reg,5031,0.9200954084675015
22-99,0,MLP-Reg,4519,0.9117061296747068
0-18,0,XGBoost,3613,0.9922502075837254
18-20,0,XGBoost,6837,0.974696504314758
20-22,0,XGBoost,5031,0.9590538660306103
22-99,0,XGBoost,4519,0.94135870767869
0-18,1,KAN,3613,0.9548851370052588
18-20,1,KAN,6837,0.9420798595875384
20-22,1,KAN,5031,0.9280461140926257
22-99,1,KAN,4519,0.8955521132994025
0-18,1,MLP-Reg,3613,0.9532244672017713
18-20,1,MLP-Reg,6837,0.9382770220857101
20-22,1,MLP-Reg,5031,0.9212880143112702
22-99,1,MLP-Reg,4519,0.9103784023013941
0-18,1,XGBoost,3613,0.9922502075837254
18-20,1,XGBoost,6837,0.9744039783530788
20-22,1,XGBoost,5031,0.9590538660306103
22-99,1,XGBoost,4519,0.9387032529320646
0-18,2,KAN,3613,0.9548851370052588
18-20,2,KAN,6837,0.9420798595875384
20-22,2,KAN,5031,0.9280461140926257
22-99,2,KAN,4519,0.896437264881611
0-18,2,MLP-Reg,3613,0.9532244672017713
18-20,2,MLP-Reg,6837,0.9382770220857101
20-22,2,MLP-Reg,5031,0.9198966408268734
22-99,2,MLP-Reg,4519,0.9112635538836026
0-18,2,XGBoost,3613,0.9919734292831442
18-20,2,XGBoost,6837,0.9745502413339184
20-22,2,XGBoost,5031,0.9588550983899821
22-99,2,XGBoost,4519,0.9382606771409604
0-18,3,KAN,3613,0.9548851370052588
18-20,3,KAN,6837,0.9420798595875384
20-22,3,KAN,5031,0.9280461140926257
22-99,3,KAN,4519,0.8971011285682673
0-18,3,MLP-Reg,3613,0.9532244672017713
18-20,3,MLP-Reg,6837,0.9384232850665497
20-22,3,MLP-Reg,5031,0.9196978731862453
22-99,3,MLP-Reg,4519,0.9114848417791547
0-18,3,XGBoost,3613,0.9919734292831442
18-20,3,XGBoost,6837,0.9744039783530788
20-22,3,XGBoost,5031,0.9592526336712384
22-99,3,XGBoost,4519,0.9444567382164195
0-18,4,KAN,3613,0.9548851370052588
18-20,4,KAN,6837,0.9420798595875384
20-22,4,KAN,5031,0.9276485788113695
22-99,4,KAN,4519,0.8966585527771631
0-18,4,MLP-Reg,3613,0.9532244672017713
18-20,4,MLP-Reg,6837,0.9382770220857101
20-22,4,MLP-Reg,5031,0.9193003379049891
22-99,4,MLP-Reg,4519,0.9119274175702589
0-18,4,XGBoost,3613,0.9922502075837254
18-20,4,XGBoost,6837,0.9744039783530788
20-22,4,XGBoost,5031,0.9582587954680978
22-99,4,XGBoost,4519,0.9440141624253153
