bin,trial,Model,n,Accuracy
0-18,0,KAN,2365,0.8790697674418605
18-20,0,KAN,3339,0.9523809523809523
20-22,0,KAN,7973,0.9404239307663363
22-99,0,KAN,984,0.9024390243902439
0-18,0,MLP-Reg,2365,0.8845665961945032
18-20,0,MLP-Reg,3339,0.9532794249775381
20-22,0,MLP-Reg,7973,0.9366612316568418
22-99,0,MLP-Reg,984,0.907520325203252
0-18,0,XGBoost,2365,0.9788583509513742
18-20,0,XGBoost,3339,0.983528002395927
20-22,0,XGBoost,7973,0.9622475856014048
22-99,0,XGBoost,984,0.9237804878048781
0-18,1,KAN,2365,0.8701902748414376
18-20,1,KAN,3339,0.9523809523809523
20-22,1,KAN,7973,0.9424307036247335
22-99,1,KAN,984,0.9054878048780488
0-18,1,MLP-Reg,2365,0.8849894291754757
18-20,1,MLP-Reg,3339,0.955675351901767
20-22,1,MLP-Reg,7973,0.9397968142480873
22-99,1,MLP-Reg,984,0.9024390243902439
0-18,1,XGBoost,2365,0.9809725158562368
18-20,1,XGBoost,3339,0.9838274932614556
20-22,1,XGBoost,7973,0.962749278816004
22-99,1,XGBoost,984,0.9247967479674797
0-18,2,KAN,2365,0.8761099365750529
18-20,2,KAN,3339,0.9520814615154238
20-22,2,KAN,7973,0.9436849366612317
22-99,2,KAN,984,0.8973577235772358
0-18,2,MLP-Reg,2365,0.8896405919661734
18-20,2,MLP-Reg,3339,0.954177897574124
20-22,2,MLP-Reg,7973,0.9394205443371378
22-99,2,MLP-Reg,984,0.899390243902439
0-18,2,XGBoost,2365,0.9818181818181818
18-20,2,XGBoost,3339,0.9817310572027553
20-22,2,XGBoost,7973,0.9618713156904553
22-99,2,XGBoost,984,0.9258130081300813
0-18,3,KAN,2365,0.8773784355179705
18-20,3,KAN,3339,0.9535789158430668
20-22,3,KAN,7973,0.9421798570174338
22-99,3,KAN,984,0.9085365853658537
0-18,3,MLP-Reg,2365,0.8921775898520085
18-20,3,MLP-Reg,3339,0.9532794249775381
20-22,3,MLP-Reg,7973,0.9397968142480873
22-99,3,MLP-Reg,984,0.9044715447154471
0-18,3,XGBoost,2365,0.9818181818181818
18-20,3,XGBoost,3339,0.9856244384546271
20-22,3,XGBoost,7973,0.9623730089050545
22-99,3,XGBoost,984,0.9258130081300813
0-18,4,KAN,2365,0.8761099365750529
18-20,4,KAN,3339,0.9535789158430668
20-22,4,KAN,7973,0.9424307036247335
22-99,4,KAN,984,0.9034552845528455
0-18,4,MLP-Reg,2365,0.8832980972515856
18-20,4,MLP-Reg,3339,0.9553758610362384
20-22,4,MLP-Reg,7973,0.9382917346042895
22-99,4,MLP-Reg,984,0.8983739837398373
0-18,4,XGBoost,2365,0.9826638477801268
18-20,4,XGBoost,3339,0.9850254567235699
20-22,4,XGBoost,7973,0.9626238555123542
22-99,4,XGBoost,984,0.9247967479674797
