seed,alpha,trial,kan,mlpreg,gap
0,0.5,0,0.92975,0.9313,-0.0015500000000000513
0,0.5,1,0.92975,0.9315,-0.0017500000000000293
0,0.5,2,0.93,0.9314,-0.0013999999999999568
0,0.5,3,0.9296,0.9314,-0.0018000000000000238
0,0.5,4,0.92955,0.9313,-0.0017500000000000293
0,0.5,5,0.9295,0.9315,-0.0020000000000000018
0,0.5,6,0.9295,0.93125,-0.0017500000000000293
0,0.5,7,0.92995,0.9314,-0.0014499999999999513
0,0.5,8,0.9295,0.93155,-0.0020499999999999963
0,0.5,9,0.92955,0.93125,-0.0017000000000000348
0,0.5,10,0.9296,0.9313,-0.0017000000000000348
0,0.5,11,0.92965,0.93145,-0.0018000000000000238
0,0.5,12,0.92945,0.9311,-0.0016500000000000403
0,0.5,13,0.92975,0.93175,-0.0020000000000000018
0,0.5,14,0.9298,0.9316,-0.0018000000000000238
0,0.5,15,0.92985,0.93095,-0.001100000000000101
0,0.5,16,0.92975,0.9312,-0.0014500000000000624
0,0.5,17,0.92965,0.9312,-0.0015500000000000513
0,0.5,18,0.92965,0.93115,-0.0015000000000000568
0,0.5,19,0.9293,0.9314,-0.0020999999999999908
0,1.0,0,0.9292,0.93065,-0.0014499999999999513
0,1.0,1,0.9293,0.9317,-0.0023999999999999577
0,1.0,2,0.93015,0.93125,-0.0010999999999999899
0,1.0,3,0.9297,0.9313,-0.0016000000000000458
0,1.0,4,0.92945,0.9311,-0.0016500000000000403
0,1.0,5,0.9296,0.9317,-0.0020999999999999908
0,1.0,6,0.9294,0.93105,-0.0016500000000000403
0,1.0,7,0.92975,0.9315,-0.0017500000000000293
0,1.0,8,0.92925,0.9313,-0.0020499999999999963
0,1.0,9,0.9298,0.9312,-0.0014000000000000679
0,1.0,10,0.9297,0.9316,-0.0019000000000000128
0,1.0,11,0.9298,0.931,-0.0012000000000000899
0,1.0,12,0.9296,0.9309,-0.0012999999999999678
0,1.0,13,0.9296,0.9315,-0.0019000000000000128
0,1.0,14,0.9302,0.93135,-0.0011499999999999844
0,1.0,15,0.92965,0.9307,-0.0010499999999999954
0,1.0,16,0.92995,0.93115,-0.0011999999999999789
0,1.0,17,0.9299,0.93095,-0.0010500000000001064
0,1.0,18,0.9291,0.931,-0.0019000000000000128
0,1.0,19,0.92945,0.9315,-0.0020499999999999963
0,2.0,0,0.92885,0.9305,-0.0016500000000000403
0,2.0,1,0.9291,0.93125,-0.0021499999999999853
0,2.0,2,0.9287,0.9307,-0.0020000000000000018
0,2.0,3,0.92895,0.9302,-0.0012499999999999734
0,2.0,4,0.92885,0.9306,-0.0017500000000000293
0,2.0,5,0.92875,0.931,-0.0022500000000000853
0,2.0,6,0.92865,0.9303,-0.0016500000000000403
0,2.0,7,0.9294,0.93095,-0.0015500000000000513
0,2.0,8,0.92825,0.93025,-0.0020000000000000018
0,2.0,9,0.92845,0.93015,-0.0017000000000000348
0,2.0,10,0.929,0.93115,-0.0021499999999999853
0,2.0,11,0.9286,0.9302,-0.0016000000000000458
0,2.0,12,0.9292,0.93005,-0.0008500000000000174
0,2.0,13,0.92905,0.93115,-0.0020999999999999908
0,2.0,14,0.92905,0.9311,-0.0020499999999999963
0,2.0,15,0.92855,0.93025,-0.0017000000000000348
0,2.0,16,0.92925,0.9305,-0.0012499999999999734
0,2.0,17,0.92865,0.9311,-0.0024500000000000632
0,2.0,18,0.92905,0.93055,-0.0014999999999999458
0,2.0,19,0.92865,0.93045,-0.0018000000000000238
0,5.0,0,0.9236,0.9269,-0.0032999999999999696
0,5.0,1,0.9237,0.9284,-0.0047000000000000375
0,5.0,2,0.92235,0.9272,-0.004850000000000021
0,5.0,3,0.92255,0.926,-0.003450000000000064
0,5.0,4,0.92305,0.92765,-0.0045999999999999375
0,5.0,5,0.9228,0.92755,-0.004750000000000032
0,5.0,6,0.92245,0.9268,-0.004349999999999965
0,5.0,7,0.92255,0.9275,-0.00495000000000001
0,5.0,8,0.92255,0.9264,-0.00385000000000002
0,5.0,9,0.9228,0.92725,-0.004450000000000065
0,5.0,10,0.9234,0.92755,-0.004149999999999987
0,5.0,11,0.92335,0.9267,-0.003349999999999964
0,5.0,12,0.92335,0.9262,-0.002850000000000019
0,5.0,13,0.92245,0.92765,-0.005199999999999982
0,5.0,14,0.9241,0.9285,-0.0043999999999999595
0,5.0,15,0.9226,0.92605,-0.003450000000000064
0,5.0,16,0.92315,0.92785,-0.0046999999999999265
0,5.0,17,0.92295,0.92705,-0.0040999999999999925
0,5.0,18,0.92275,0.9269,-0.004149999999999987
0,5.0,19,0.923,0.9262,-0.0031999999999999806
0,10.0,0,0.91195,0.9186,-0.006649999999999934
0,10.0,1,0.91255,0.918,-0.005450000000000066
0,10.0,2,0.9102,0.9177,-0.007499999999999951
0,10.0,3,0.9094,0.91695,-0.007550000000000057
0,10.0,4,0.90985,0.9174,-0.007549999999999946
0,10.0,5,0.9113,0.9179,-0.00660000000000005
0,10.0,6,0.9093,0.91715,-0.007850000000000024
0,10.0,7,0.9094,0.9177,-0.008299999999999974
0,10.0,8,0.9076,0.91675,-0.009149999999999991
0,10.0,9,0.9105,0.91785,-0.007350000000000079
0,10.0,10,0.91005,0.91755,-0.007499999999999951
0,10.0,11,0.9096,0.91685,-0.00725000000000009
0,10.0,12,0.9105,0.9164,-0.005900000000000016
0,10.0,13,0.9097,0.9167,-0.007000000000000006
0,10.0,14,0.91075,0.91905,-0.008300000000000085
0,10.0,15,0.90915,0.9154,-0.006249999999999978
0,10.0,16,0.9101,0.91815,-0.008050000000000002
0,10.0,17,0.9097,0.91735,-0.007650000000000046
0,10.0,18,0.9092,0.91685,-0.007650000000000046
0,10.0,19,0.9098,0.91695,-0.00714999999999999
1,0.5,0,0.92985,0.93225,-0.0024000000000000687
1,0.5,1,0.9299,0.9321,-0.0022000000000000908
1,0.5,2,0.92985,0.93215,-0.0023000000000000798
1,0.5,3,0.92985,0.93245,-0.0026000000000000467
1,0.5,4,0.92975,0.9324,-0.002650000000000041
1,0.5,5,0.92975,0.9325,-0.00275000000000003
1,0.5,6,0.93015,0.93245,-0.0022999999999999687
1,0.5,7,0.93005,0.93245,-0.0023999999999999577
1,0.5,8,0.93,0.9323,-0.0022999999999999687
1,0.5,9,0.93015,0.93235,-0.0021999999999999797
1,0.5,10,0.93,0.9325,-0.0024999999999999467
1,0.5,11,0.9299,0.9323,-0.0024000000000000687
1,0.5,12,0.9298,0.93225,-0.0024500000000000632
1,0.5,13,0.93005,0.93215,-0.0020999999999999908
1,0.5,14,0.92995,0.93235,-0.0023999999999999577
1,0.5,15,0.9299,0.93235,-0.0024500000000000632
1,0.5,16,0.93005,0.93245,-0.0023999999999999577
1,0.5,17,0.92975,0.93265,-0.0029000000000000137
1,0.5,18,0.9299,0.93255,-0.002650000000000041
1,0.5,19,0.92985,0.93235,-0.0025000000000000577
1,1.0,0,0.9299,0.93155,-0.0016500000000000403
1,1.0,1,0.9297,0.93215,-0.0024500000000000632
1,1.0,2,0.92965,0.93175,-0.0020999999999999908
1,1.0,3,0.9298,0.93185,-0.0020499999999999963
1,1.0,4,0.9298,0.93235,-0.0025500000000000522
1,1.0,5,0.9298,0.9326,-0.0028000000000000247
1,1.0,6,0.9299,0.93195,-0.0020499999999999963
1,1.0,7,0.92995,0.93195,-0.0019999999999998908
1,1.0,8,0.92995,0.93215,-0.0021999999999999797
1,1.0,9,0.92975,0.93225,-0.0025000000000000577
1,1.0,10,0.93,0.93245,-0.002449999999999952
1,1.0,11,0.9299,0.9323,-0.0024000000000000687
1,1.0,12,0.93015,0.93225,-0.0020999999999999908
